Time,pv_real_15min,pv_sim_15min
2022-02-15 01:00:00,0.0,0.0
2022-02-15 01:15:00,0.0,0.0
2022-02-15 01:30:00,0.0,0.0
2022-02-15 01:45:00,0.0,0.0
2022-02-15 02:00:00,0.0,0.0
2022-02-15 02:15:00,0.0,0.0
2022-02-15 02:30:00,0.0,0.0
2022-02-15 02:45:00,0.0,0.0
2022-02-15 03:00:00,0.0,0.0
2022-02-15 03:15:00,0.0,0.0
2022-02-15 03:30:00,0.0,0.0
2022-02-15 03:45:00,0.0,0.0
2022-02-15 04:00:00,0.0,0.0
2022-02-15 04:15:00,0.0,0.0
2022-02-15 04:30:00,0.0,0.0
2022-02-15 04:45:00,0.0,0.0
2022-02-15 05:00:00,0.0,0.0
2022-02-15 05:15:00,0.0,0.0
2022-02-15 05:30:00,0.0,0.0
2022-02-15 05:45:00,0.0,0.0
2022-02-15 06:00:00,0.0,0.0
2022-02-15 06:15:00,0.0,0.0
2022-02-15 06:30:00,0.0,0.0
2022-02-15 06:45:00,0.0,0.0
2022-02-15 07:00:00,0.0,0.0
2022-02-15 07:15:00,0.0,0.0
2022-02-15 07:30:00,0.0,0.0
2022-02-15 07:45:00,0.048,0.048
2022-02-15 08:00:00,0.113,0.161
2022-02-15 08:15:00,-0.062,0.099
2022-02-15 08:30:00,-0.016,0.083
2022-02-15 08:45:00,-0.037,0.046
2022-02-15 09:00:00,-0.046,0.0
2022-02-15 09:15:00,0.0,0.0
2022-02-15 09:30:00,2.437915,3.994
2022-02-15 09:45:00,-3.888,0.106
2022-02-15 10:00:00,2.008,2.114
2022-02-15 10:15:00,-0.39,1.724
2022-02-15 10:30:00,-0.658,1.066
2022-02-15 10:45:00,0.783,1.849
2022-02-15 11:00:00,-0.419,1.43
2022-02-15 11:15:00,-0.141,1.289
2022-02-15 11:30:00,0.655,1.944
2022-02-15 11:45:00,2.437915,5.84
2022-02-15 12:00:00,-1.95,3.89
2022-02-15 12:15:00,-2.909,0.981
2022-02-15 12:30:00,0.077,1.058
2022-02-15 12:45:00,-0.025,1.033
2022-02-15 13:00:00,0.504,1.537
2022-02-15 13:15:00,0.526,2.063
2022-02-15 13:30:00,-1.5,0.563
2022-02-15 13:45:00,2.437915,4.753
2022-02-15 14:00:00,-3.229,1.524
2022-02-15 14:15:00,-0.269,1.255
2022-02-15 14:30:00,0.365,1.62
2022-02-15 14:45:00,-0.761,0.859
2022-02-15 15:00:00,-0.859,0.0
2022-02-15 15:15:00,2.437915,2.858
2022-02-15 15:30:00,-1.322,1.536
2022-02-15 15:45:00,-0.346,1.19
2022-02-15 16:00:00,-0.033,1.157
2022-02-15 16:15:00,0.39,1.547
2022-02-15 16:30:00,-0.266,1.281
2022-02-15 16:45:00,-0.975,0.306
2022-02-15 17:00:00,-0.008,0.298
2022-02-15 17:15:00,-0.098,0.2
2022-02-15 17:30:00,-0.152,0.048
2022-02-15 17:45:00,-0.048,0.0
2022-02-15 18:00:00,0.0,0.0
2022-02-15 18:15:00,0.0,0.0
2022-02-15 18:30:00,0.0,0.0
2022-02-15 18:45:00,0.0,0.0
2022-02-15 19:00:00,0.0,0.0
2022-02-15 19:15:00,0.0,0.0
2022-02-15 19:30:00,0.0,0.0
2022-02-15 19:45:00,0.0,0.0
2022-02-15 20:00:00,0.0,0.0
2022-02-15 20:15:00,0.0,0.0
2022-02-15 20:30:00,0.0,0.0
2022-02-15 20:45:00,0.0,0.0
2022-02-15 21:00:00,0.0,0.0
2022-02-15 21:15:00,0.0,0.0
2022-02-15 21:30:00,0.0,0.0
2022-02-15 21:45:00,0.0,0.0
2022-02-15 22:00:00,0.0,0.0
2022-02-15 22:15:00,0.0,0.0
2022-02-15 22:30:00,0.0,0.0
2022-02-15 22:45:00,0.0,0.0
2022-02-15 23:00:00,0.0,0.0
2022-02-15 23:15:00,0.0,0.0
2022-02-15 23:30:00,0.0,0.0
2022-02-15 23:45:00,0.0,0.0
2022-02-16 00:00:00,0.0,0.0
2022-02-16 00:15:00,0.0,0.0
2022-02-16 00:30:00,0.0,0.0
2022-02-16 00:45:00,0.0,0.0
2022-02-16 01:00:00,0.0,0.0
2022-02-16 01:15:00,0.0,0.0
2022-02-16 01:30:00,0.0,0.0
2022-02-16 01:45:00,0.0,0.0
2022-02-16 02:00:00,0.0,0.0
2022-02-16 02:15:00,0.0,0.0
2022-02-16 02:30:00,0.0,0.0
2022-02-16 02:45:00,0.0,0.0
2022-02-16 03:00:00,0.0,0.0
2022-02-16 03:15:00,0.0,0.0
2022-02-16 03:30:00,0.0,0.0
2022-02-16 03:45:00,0.0,0.0
2022-02-16 04:00:00,0.0,0.0
2022-02-16 04:15:00,0.0,0.0
2022-02-16 04:30:00,0.0,0.0
2022-02-16 04:45:00,0.0,0.0
2022-02-16 05:00:00,0.0,0.0
2022-02-16 05:15:00,0.0,0.0
2022-02-16 05:30:00,0.0,0.0
2022-02-16 05:45:00,0.0,0.0
2022-02-16 06:00:00,0.0,0.0
2022-02-16 06:15:00,0.0,0.0
2022-02-16 06:30:00,0.0,0.0
2022-02-16 06:45:00,0.0,0.0
2022-02-16 07:00:00,0.0,0.0
2022-02-16 07:15:00,0.0,0.0
2022-02-16 07:30:00,0.045,0.045
2022-02-16 07:45:00,0.031,0.076
2022-02-16 08:00:00,0.12,0.196
2022-02-16 08:15:00,-0.038,0.158
2022-02-16 08:30:00,0.148,0.306
2022-02-16 08:45:00,-0.153,0.153
2022-02-16 09:00:00,0.487,0.64
2022-02-16 09:15:00,0.022,0.662
2022-02-16 09:30:00,0.093,0.755
2022-02-16 09:45:00,-0.043,0.712
2022-02-16 10:00:00,0.526,1.238
2022-02-16 10:15:00,-1.238,0.0
2022-02-16 10:30:00,2.437915,2.585
2022-02-16 10:45:00,-1.231,1.354
2022-02-16 11:00:00,0.253,1.607
2022-02-16 11:15:00,0.214,1.821
2022-02-16 11:30:00,-0.221,1.6
2022-02-16 11:45:00,0.363,1.963
2022-02-16 12:00:00,0.846,2.809
2022-02-16 12:15:00,1.189,3.998
2022-02-16 12:30:00,-1.236,2.762
2022-02-16 12:45:00,0.029,2.791
2022-02-16 13:00:00,0.097,2.888
2022-02-16 13:15:00,0.037,2.925
2022-02-16 13:30:00,-0.551,2.374
2022-02-16 13:45:00,-0.375,1.999
2022-02-16 14:00:00,-0.311,1.688
2022-02-16 14:15:00,-0.204,1.484
2022-02-16 14:30:00,0.354,1.838
2022-02-16 14:45:00,0.317,2.155
2022-02-16 15:00:00,-0.548,1.607
2022-02-16 15:15:00,0.081,1.688
2022-02-16 15:30:00,-1.172,0.516
2022-02-16 15:45:00,-0.178,0.338
2022-02-16 16:00:00,0.202,0.54
2022-02-16 16:15:00,-0.079,0.461
2022-02-16 16:30:00,-0.082,0.379
2022-02-16 16:45:00,-0.267,0.112
2022-02-16 17:00:00,-0.062,0.05
2022-02-16 17:15:00,-0.047,0.003
2022-02-16 17:30:00,-0.003,0.0
2022-02-16 17:45:00,0.0,0.0
2022-02-16 18:00:00,0.0,0.0
2022-02-16 18:15:00,0.0,0.0
2022-02-16 18:30:00,0.0,0.0
2022-02-16 18:45:00,0.0,0.0
2022-02-16 19:00:00,0.0,0.0
2022-02-16 19:15:00,0.0,0.0
2022-02-16 19:30:00,0.0,0.0
2022-02-16 19:45:00,0.0,0.0
2022-02-16 20:00:00,0.0,0.0
2022-02-16 20:15:00,0.0,0.0
2022-02-16 20:30:00,0.0,0.0
2022-02-16 20:45:00,0.0,0.0
2022-02-16 21:00:00,0.0,0.0
2022-02-16 21:15:00,0.0,0.0
2022-02-16 21:30:00,0.0,0.0
2022-02-16 21:45:00,0.0,0.0
2022-02-16 22:00:00,0.0,0.0
2022-02-16 22:15:00,0.0,0.0
2022-02-16 22:30:00,0.0,0.0
2022-02-16 22:45:00,0.0,0.0
2022-02-16 23:00:00,0.0,0.0
2022-02-16 23:15:00,0.0,0.0
2022-02-16 23:30:00,0.0,0.0
2022-02-16 23:45:00,0.0,0.0
2022-02-17 00:00:00,0.0,0.0
2022-02-17 00:15:00,0.0,0.0
2022-02-17 00:30:00,0.0,0.0
2022-02-17 00:45:00,0.0,0.0
2022-02-17 01:00:00,0.0,0.0
2022-02-17 01:15:00,0.0,0.0
2022-02-17 01:30:00,0.0,0.0
2022-02-17 01:45:00,0.0,0.0
2022-02-17 02:00:00,0.0,0.0
2022-02-17 02:15:00,0.0,0.0
2022-02-17 02:30:00,0.0,0.0
2022-02-17 02:45:00,0.0,0.0
2022-02-17 03:00:00,0.0,0.0
2022-02-17 03:15:00,0.0,0.0
2022-02-17 03:30:00,0.0,0.0
2022-02-17 03:45:00,0.0,0.0
2022-02-17 04:00:00,0.0,0.0
2022-02-17 04:15:00,0.0,0.0
2022-02-17 04:30:00,0.0,0.0
2022-02-17 04:45:00,0.0,0.0
2022-02-17 05:00:00,0.0,0.0
2022-02-17 05:15:00,0.0,0.0
2022-02-17 05:30:00,0.0,0.0
2022-02-17 05:45:00,0.0,0.0
2022-02-17 06:00:00,0.0,0.0
2022-02-17 06:15:00,0.0,0.0
2022-02-17 06:30:00,0.0,0.0
2022-02-17 06:45:00,0.0,0.0
2022-02-17 07:00:00,0.0,0.0
2022-02-17 07:15:00,0.0,0.0
2022-02-17 07:30:00,0.001,0.001
2022-02-17 07:45:00,0.058,0.059
2022-02-17 08:00:00,0.162,0.221
